SouŸ stka;ZnaŸen¡;Pýipojen¡;Specifikace;Typ;Funkce;Symbol;Str nka Ÿ.;¬.skupiny;Viditeln‚;Vìpisy zapojen¡;Vìpisy materi lu;Mech. pý¡sluçenstv¡;VìKON;Ot ŸKY;Viditeln
 (0);;;;RT:PWR1/X31:4;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;RT:PWR2/X32:4;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;RT:PWR3/PE:12;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T6_RT/SW2:X8;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T5_RT/SW2:X7;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T4_RT/SW2:X6;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T3_RT/SW2:X4;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T2_RT/SW2:X3;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T1_RT/SW2:X2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SW2:PWR3/PE:11;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;RT:LAN/SW2:X1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SW2:PWR2/X32:3;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SW2:PWR1/X31:3;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T6_ETH/SW1:X8;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T5_ETH/SW1:X7;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T4_ETH/SW1:X6;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T3_ETH/SW1:X4;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T2_ETH/SW1:X3;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;T1_ETH/SW1:X2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SW1:PWR3/PE:8;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;ETH/SW1:X1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;K2:A2/X1:N12;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SW1:PWR2/X32:2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SW1:PWR1/X31:2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;;;02-02-04;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TER1:1/X1:L9;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;FAN:2/X1:N9;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;FAN:3/X1:PE9;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:40/S40:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:39/S39:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:38/S38:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:37/S37:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:36/S36:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:35/S35:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:34/S34:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:33/S33:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:32/S32:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:31/S31:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:30/S30:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1:29/S29:4;;sipka;9;0;Ano;Ano;Ano;;;;Ano
