SouË·stka;ZnaËenÌ;P¯ipojenÌ;Specifikace;Typ;Funkce;Symbol;Str·nka Ë.;».skupiny;ViditelnÈ;V˝pisy zapojenÌ;V˝pisy materi·lu;Mech. p¯ÌsluöenstvÌ;V˝KON;OT·ËKY;ViditelnÈ
 (0);;;;X23:A2/PUC3:IN18;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:RS422/TERM:2;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PB1/PB1:1;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2:PB2/PB2:1;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SR1:23/PUC2:REL1;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:C5/PS1:PE;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:B5/PS1:N;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:A5/PS1:L;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS2:4/X24:D2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PS2:3/X24:C2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:A6/PS2:L1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X2:B6/PS2:FG;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X23:A1/PUC3:IN17;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A2/PUC3:IN16;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X22:A1/PUC3:IN15;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A2/PUC3:IN14;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X21:A1/PUC3:IN13;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A2/PUC3:IN12;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X20:A1/PUC3:IN11;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A2/PUC3:IN10;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X19:A1/PUC3:IN9;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A2/PUC3:IN8;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X18:A1/PUC3:IN7;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S18:3/X23:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S17:3/X23:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S16:3/X22:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S15:3/X22:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S14:3/X21:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S13:3/X21:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S12:3/X20:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S11:3/X20:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S10:3/X19:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S9:3/X19:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S8:3/X18:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S7:3/X18:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S6:3/X17:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S5:3/X17:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S4:3/X16:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S3:3/X16:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S2:3/X15:D2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1:3/X15:D1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S18:4/X23:C2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
