Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;P12:2/X13:D2;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS0:1/P11:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P11:2/FU0:8;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9:2/PB_ON;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10:2/PB_OFF;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P9:1/X3:C2;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P10:1/X4:C1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B2/P8:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B1/P7:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B2/P6:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B1/P5:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:B2/P4:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X4:B1/P3:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X3:B2/P2:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X3:B1/P1:1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;P8:2/X8:D1;;sipka;1;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:1/X3:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:2/X3:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:3/X4:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:4/X4:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:5/X5:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:6/X5:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:7/X6:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:8/X6:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:9/X7:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:10/X7:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:11/X8:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1:12/X3:C1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:1/X9:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:2/X9:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:3/X10:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:4/X10:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:5/X11:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:6/X11:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:7/X12:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:8/X12:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:9/X13:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:10/X13:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:11/X14:A1;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:12/X14:A2;;sipka;2;0;Ano;Ano;Ano;;;;Ano
 (0);;;;OUT1:2/X18:1;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;OUT2:2/X19:1;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;OUT3:2/X20:1;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;OUT4:2/X21:1;;sipka;3;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1-18:2/X15-X23:B1,B2;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1-18:3/X15-X23:D1,D2;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1-18:4/X15-X23:C1,C2;;sipka;5;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B2/P8:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X6:B1/P7:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B2/P6:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;X5:B1/P5:1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
