Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;TS-4:8/X2:D2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:1/X6:D2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:10/X6:C2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:NC/X16:D1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-5:9/X3:C1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-5:8/X3:D1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-5:1/X7:D1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-5:10/X7:C1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-5:NC/X17:D1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-6:9/X3:C2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-6:8/X3:D2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-6:1/X7:D2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-6:10/X7:C2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-6:NC/X18:D1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:2/X11:B2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:3/X12:B1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:4/X12:B2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:5/X13:B1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:6/X13:B2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-4:7/X14:B1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-2:2/X4:B2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-2:3/X5:B1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-2:4/X5:B2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-2:5/X6:B1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-2:6/X6:B2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-2:7/X7:B1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-6:2/X18:B2;;sipka;4;0;Ano;Ano;Ano;;;;Ano
 (0);;;;TS-6:3/X19:B1;;sipka;4;0;Ano;Ano;Ano;;;;Ano
