Stránka è.;Znaèení;Specifikace;ROUTINGCLASS;Znaèení
2;F0:2/K0:L1;1 mm2,black;;F0:2/K0:L1
2;F0:4/K0:L2;1 mm2,brown;;F0:4/K0:L2
2;F0:6/K0:L3;1 mm2,gray;;F0:6/K0:L3
2;F0:6/K0:L3;1 mm2,gray;;F0:6/K0:L3
2;F0:6/K0:2;1 mm2,gray;;F0:6/K0:2
2;X0:N/X1:N1;1,5 mm2,blue;;X0:N/X1:N1
2;X0:L3/S0:5;1,5 mm2,gray;;X0:L3/S0:5
2;X0:L2/S0:3;1,5 mm2,bown;;X0:L2/S0:3
2;K0:3/K1:A1;1 mm2,black;;K0:3/K1:A1
2;K0:3/K1:A1;1 mm2,black;;K0:3/K1:A1
2;K2:A1/K1:A1;1 mm2,black;;K2:A1/K1:A1
2;K1:A2/K2:A2;1 mm2,blue;;K1:A2/K2:A2
2;K0:N/K1:A2;1 mm2,blue;;K0:N/K1:A2
2;X0:L3/S0:5;1,5 mm2,gray;;X0:L3/S0:5
2;X0:L2/S0:3;1,5 mm2,bown;;X0:L2/S0:3
2;X0:L1/S0:1;1,5 mm2,black;;X0:L1/S0:1
2;S0:6/F1:5;1,5 mm2,gray;;S0:6/F1:5
2;S0:4/F1:3;1,5 mm2,bown;;S0:4/F1:3
2;S0:2/F1:1;1,5 mm2,black;;S0:2/F1:1
2;S0:5/F0:5;1 mm2,gray;;S0:5/F0:5
2;S0:3/F0:3;1 mm2,brown;;S0:3/F0:3
2;X0:L1/S0:1;1,5 mm2,black;;X0:L1/S0:1
2;S0:1/F0:1;1 mm2,black;;S0:1/F0:1
5;X2:3/PWC_T1:1;1 mm2,red;;X2:3/PWC_T1:1
5;X3:3/PWC_T2:1;1 mm2,red;;X3:3/PWC_T2:1
5;X8:3/PWC_T1:2;1 mm2,white;;X8:3/PWC_T1:2
5;X9:3/PWC_T2:2;1 mm2,white;;X9:3/PWC_T2:2
5;X2:4/PWC_T1:3;1 mm2,red;;X2:4/PWC_T1:3
5;X3:4/PWC_T2:3;1 mm2,red;;X3:4/PWC_T2:3
5;X8:4/PWC_T1:4;1 mm2,white;;X8:4/PWC_T1:4
5;X9:4/PWC_T2:4;1 mm2,white;;X9:4/PWC_T2:4
5;X4:3/PWC_T3:1;1 mm2,red;;X4:3/PWC_T3:1
5;X5:3/PWC_T4:1;1 mm2,red;;X5:3/PWC_T4:1
5;X10:3/PWC_T3:2;1 mm2,white;;X10:3/PWC_T3:2
5;X11:3/PWC_T4:2;1 mm2,white;;X11:3/PWC_T4:2
5;X4:4/PWC_T3:3;1 mm2,red;;X4:4/PWC_T3:3
5;X5:4/PWC_T4:3;1 mm2,red;;X5:4/PWC_T4:3
5;X10:4/PWC_T3:4;1 mm2,white;;X10:4/PWC_T3:4
5;X11:4/PWC_T4:4;1 mm2,white;;X11:4/PWC_T4:4
5;X6:3/PWC_T6:1;1 mm2,red;;X6:3/PWC_T6:1
5;X7:3/PWC_T5:1;1 mm2,red;;X7:3/PWC_T5:1
5;X12:3/PWC_T6:2;1 mm2,white;;X12:3/PWC_T6:2
5;X13:3/PWC_T5:2;1 mm2,white;;X13:3/PWC_T5:2
5;X6:4/PWC_T6:3;1 mm2,red;;X6:4/PWC_T6:3
5;X7:4/PWC_T5:3;1 mm2,red;;X7:4/PWC_T5:3
5;X12:4/PWC_T6:4;1 mm2,white;;X12:4/PWC_T6:4
5;X13:4/PWC_T5:4;1 mm2,white;;X13:4/PWC_T5:4
6;PWS9:1/X14:1;1,5 mm2,black;;PWS9:1/X14:1
6;PWS9:4/X15:1;1,5 mm2,blue;;PWS9:4/X15:1
8;GND;;;GND
8;+24V;;;+24V
