Spojeni;Specifikace
ACT1:1/X14:2;1,5 mm2,black
ACT1:3/X15:2;1,5 mm2,blue
ACT2:1/X14:3;1,5 mm2,black
ACT2:3/X15:3;1,5 mm2,blue
ACT3:1/X14:4;1,5 mm2,black
ACT3:3/X15:4;1,5 mm2,blue
ACT4:1/X14:5;1,5 mm2,black
ACT4:3/X15:5;1,5 mm2,blue
ACT5:1/X14:6;1,5 mm2,black
ACT5:3/X15:6;1,5 mm2,blue
ACT6:1/X14:7;1,5 mm2,black
ACT6:3/X15:7;1,5 mm2,blue
F1:1/S:2;1,5 mm2,black
F1:2/X1:L1;neni spec
F1:3/S:4;1,5 mm2,bown
F1:4/X1:L4;neni spec
F1:5/S:6;1,5 mm2,gray
F1:6/X1:L7;neni spec
F:1/S:1;1 mm2,black
F:2/K:L1;1 mm2,black
F:3/S:3;1 mm2,brown
F:4/K:L2;1 mm2,brown
F:5/S:5;1 mm2,gray
F:6/K:2;1 mm2,gray
F:6/K:L3;1 mm2,gray
FAN:2/X1:N10;neni spec
FAN:3/X1:PE10;neni spec
K1:A1/K2:A1;1 mm2,black
K1:A1/K:3;1 mm2,black
K1:A2/K2:A2;1 mm2,blue
K1:A2/K:N;1 mm2,blue
K2:1/X19:B2;neni spec
K2:1/X27:B2;neni spec
K2:2/X19:C2;neni spec
K2:2/X27:C2;neni spec
K2:A2/X1:N12;neni spec
PE:11/SW2:PWR3;neni spec
PE:12/RT:PWR3;neni spec
PE:8/SW1:PWR3;neni spec
PID13:1/X21:C1;neni spec
PID13:2/X21:B1;neni spec
PID13:3/X21:D1;neni spec
PID14:1/X21:C2;neni spec
PID14:2/X21:B2;neni spec
PID14:3/X21:D2;neni spec
PID15:1/X22:C1;neni spec
PID15:2/X22:B1;neni spec
PID15:3/X22:D1;neni spec
PUC1:1/S1:4;neni spec
PUC1:10/S10:4;neni spec
PUC1:11/S11:4;neni spec
PUC1:12/S12:4;neni spec
PUC1:13/S13:4;neni spec
PUC1:14/S14:4;neni spec
PUC1:15/S15:4;neni spec
PUC1:16/S16:4;neni spec
